name,creators_hosts,format,lean,notable_for,url_or_platform,access_model,ownership,independence_risk,policy_depth_score,flags,tier_potential,dimension_coverage_notes
Noahpinion,Noah Smith,Newsletter,Center-left,Empirical pro-growth takes on industrial policy China and macroeconomics.,https://www.noahpinion.blog,Both,Solo creator,Low,5,,Confirming / Expanding,markets_governance / national_global / pragmatism_idealism
The Preamble,Sharon McMahon,Newsletter,Center-left,Civics explainer breaking down legal and constitutional issues accessibly.,https://sharonmcmahon.substack.com,Both,Solo creator,Low,4,,Confirming / Expanding,rules_outcomes / trust_skepticism
Platformer,Casey Newton,Newsletter,Center-left,Industry-sourced reporting on social platforms moderation and tech policy.,https://www.platformer.news,Both,Independent small outlet,Low,4,,Confirming / Expanding,markets_governance / rules_outcomes
Pluralistic,Cory Doctorow,Newsletter / blog,Left-libertarian,Coverage of surveillance copyright antitrust and platform regulation.,https://pluralistic.net,Free,Solo creator,Low,5,,Confirming / Expanding,markets_governance / individual_collective / rules_outcomes
News Not Noise,Jessica Yellin,Newsletter + video,Center-left,Explainer-style coverage emphasizing clarity and reduced sensationalism.,https://newsnotnoisejessicayellin.substack.com,Both,Solo creator,Low,4,,Confirming / Expanding,trust_skepticism / stability_change
Pantsuit Politics,Sarah Stewart Holland & Beth Silvers,Podcast,Center-left / center,Empathetic detailed discussions on U.S. politics emphasizing nuance and good faith.,https://pantsuitpoliticsshow.com,Free with Patreon,Independent small company,Medium,3,,Confirming / Expanding,pragmatism_idealism / individual_collective
Persuasion,Yascha Mounk & contributors,Newsletter + podcast,Center / center-left,Defense of classical liberalism and free speech with cross-ideological contributors.,https://www.persuasion.community,Both,Independent small organization,Low-Medium,4,,Expanding,trust_skepticism / stability_change / pragmatism_idealism
Second Rough Draft,Steven Waldman,Newsletter,Center,Focused analysis on local news ecosystems democracy and journalism policy.,https://stevenawaldman.substack.com,Both,Solo creator,Low-Medium,4,,Expanding,local_federal / trust_skepticism / rules_outcomes
Silver Bulletin,Nate Silver,Newsletter,Center,Data-driven analysis of polling elections and forecasting.,https://www.natesilver.net,Both,Solo creator,Low,4,,Expanding,pragmatism_idealism / trust_skepticism
Chuck ToddCast,Chuck Todd,Podcast,Center,Independent politics podcast with long-form analysis of elections and institutions.,https://thechucktoddcast.com,Free with sponsorships,Creator-owned,Low,4,,Expanding,stability_change / rules_outcomes / trust_skepticism
Home & Away,Richard Haass,Newsletter,Center,Foreign-policy analysis connecting international crises to U.S. strategy.,https://richardhaass.substack.com,Both,Solo creator,Low,5,,Expanding,national_global / rules_outcomes / pragmatism_idealism
Tangle,Isaac Saul,Newsletter + podcast,Center / nonpartisan,Summarizes big stories with arguments from left right and center then a nuanced take.,https://tangle.substack.com,Both,Solo creator + small team,Low,4,,Expanding,pragmatism_idealism / stability_change
The Rest Is Politics US,Katty Kay & Anthony Scaramucci,Podcast,Center / center-right,Insider and journalistic perspectives on American politics from mixed-view hosts.,https://podcasts.apple.com/us/podcast/the-rest-is-politics-us/id1743030473,Free (ad-supported),Goalhanger Podcasts; hosts independent,Medium,4,,Expanding,stability_change / national_global / pragmatism_idealism
Punchbowl News,Jake Sherman & Anna Palmer & John Bresnahan,Newsletter + podcast,Center,Deep reporting on Congress leadership and legislative strategy.,https://punchbowl.news,Both,Independent media startup,Medium,4,,Expanding,rules_outcomes / local_federal / stability_change
Semafor,Ben Smith & co-founders,Newsletter + site,Center,Global and U.S. politics coverage with a multi-perspective format.,https://www.semafor.com,Both,Venture-backed startup,Medium-High,3,,Expanding,national_global / stability_change
Lawfare,Benjamin Wittes & team,Blog + podcast,Center,Serious analysis of national security law executive power and surveillance policy.,https://www.lawfaremedia.org,Both,Lawfare Institute (nonprofit; Brookings ties),Medium,5,,Expanding,rules_outcomes / national_global / trust_skepticism
Puck,Jon Kelly & team,Newsletter + site,Center,Insider reporting on media politics and business from experienced journalists.,https://puck.news,Subscription,Venture-backed; editorially independent,Medium-High,4,,Expanding,markets_governance / stability_change / trust_skepticism
Migration Policy Institute Podcasts,MPI scholars,Podcast,Center,Expert-driven immigration policy podcasts analyzing law demographics and global migration.,https://www.migrationpolicy.org/podcasts,Free,Nonprofit think tank,Medium,5,,Expanding,national_global / local_federal / rules_outcomes
People Places Planet,Environmental Law Institute,Podcast,Center,Environmental law podcast discussing climate regulation and governance.,https://www.eli.org/podcast,Free,Nonprofit,Medium,5,,Expanding,markets_governance / national_global / pragmatism_idealism
The Weekly Dish,Andrew Sullivan,Newsletter + podcast,Heterodox,Long-form essays blending conservative liberal and Catholic perspectives on politics and culture.,https://andrewsullivan.substack.com,Subscription with some free,Solo creator,Low,4,,Expanding / Challenging,stability_change / individual_collective / pragmatism_idealism
Racket News,Matt Taibbi,Newsletter + podcast,Heterodox / populist,Investigative and polemical work on censorship finance and the security state.,https://racket.news,Both,Solo creator with collaborators,Low,4,[P],Expanding / Challenging,trust_skepticism / markets_governance / rules_outcomes
Breaking Points,Krystal Ball & Saagar Enjeti,Video + podcast,Left-populist & right-populist,Anti-establishment analysis from left and right perspectives co-hosted independently.,https://breakingpoints.com,Free with member extras,Creator-owned small company,Low,4,[P],Expanding / Challenging,markets_governance / trust_skepticism / stability_change
Glenn Loury / The Glenn Show,Glenn Loury,Podcast + newsletter,Heterodox,Long-form conversations on race crime and policy grounded in economics and social science.,https://glennloury.substack.com,Free with paid support,Creator-owned,Low,4,,Expanding / Challenging,individual_collective / pragmatism_idealism / rules_outcomes
Conversations with Coleman,Coleman Hughes,Podcast + newsletter,Heterodox / center,Interviews across the spectrum on race ideology and policy with empirical bent.,https://colemanhughes.substack.com,Free with paid perks,Solo creator,Low,4,,Expanding / Challenging,individual_collective / pragmatism_idealism / trust_skepticism
Cremieux Recueil,Cremieux (pseudonymous),Newsletter,Heterodox / center,Empirical data-heavy discussion of social science papers and policy-relevant findings.,https://www.cremieux.xyz,Both,Solo creator,Low,4,,Expanding / Challenging,pragmatism_idealism / individual_collective
Lex Fridman,Lex Fridman,Podcast + video,Heterodox,Long-form interviews with political leaders scientists and technologists on AI war and governance.,https://lexfridman.com,Free,Creator-owned,Medium,3,,Expanding / Challenging,national_global / pragmatism_idealism / trust_skepticism
Public,Michael Shellenberger,Newsletter,Heterodox,Contrarian reporting and advocacy on climate homelessness and crime policy.,https://public.substack.com,Both,Solo creator + small team,Low,4,[P],Expanding / Challenging,markets_governance / pragmatism_idealism / stability_change
Conversations with Tyler,Tyler Cowen,Podcast,Center-right / heterodox,High-level interviews on economics politics and culture with deep policy analysis.,https://conversationswithtyler.com,Free,Mercatus Center (Koch-affiliated; editorially independent),Medium,4,,Expanding / Challenging,markets_governance / national_global / pragmatism_idealism
The Dispatch,Jonah Goldberg & Steve Hayes & Toby Stock,Magazine + newsletters + podcasts,Center-right,Center-right reporting and commentary with fact-checking ethos and reported pieces.,https://thedispatch.com,Both,Independent media company (Axel Springer exploration noted),Medium,4,,Confirming (right-leaning users),stability_change / rules_outcomes / trust_skepticism
The Remnant,Jonah Goldberg,Podcast,Center-right,Long-form conversations on politics history and ideology with anti-populist conservative bent.,https://remnant.thedispatch.com,Free,Part of The Dispatch,Medium,4,,Confirming (right-leaning users),stability_change / pragmatism_idealism / trust_skepticism
Advisory Opinions,David French & Sarah Isgur,Podcast,Center-right / legal,Deep good-faith analysis of Supreme Court cases constitutional law and religious-liberty issues.,https://thedispatch.com/podcast/advisory-opinions,Free with member extras,Under The Dispatch; hosts editorially autonomous,Medium,5,,Confirming (right-leaning users),rules_outcomes / individual_collective / trust_skepticism
The Bulwark,Charlie Sykes & team,Site + newsletters + podcasts,Center-right,Pro-democracy conservative commentary critical of Trumpism and illiberal tendencies.,https://www.thebulwark.com,Both,Independent media company,Low-Medium,4,,Confirming (right-leaning users),stability_change / rules_outcomes / trust_skepticism
Adam Kinzinger,Adam Kinzinger,Newsletter + video,Center-right,Post-Congress commentary from anti-Trump conservative on authoritarianism and foreign policy.,https://adamkinzinger.substack.com,Both,Solo creator,Low,3,,Confirming (right-leaning users),stability_change / national_global / trust_skepticism
The Warning,Steve Schmidt,Newsletter + video,Center / center-right,Strategic and historical analysis of democratic backsliding from a veteran GOP strategist.,https://steveschmidt.substack.com,Both,Solo creator,Low,4,,Confirming (right-leaning users),stability_change / trust_skepticism / pragmatism_idealism
News Items,John Ellis,Newsletter,Center-right,Curated links and analysis on global political economic and markets news.,https://newsitems.substack.com,Subscription with some free,Solo creator,Low,4,,Confirming (right-leaning users),national_global / markets_governance / stability_change
Political News Items,John Ellis,Newsletter,Center-right,Focused curation and commentary on U.S. electoral politics and political strategy.,https://politicalnewsitems.substack.com,Subscription with some free,Solo creator,Low,4,,Confirming (right-leaning users),stability_change / rules_outcomes
American Purpose,Jeffrey Gedmin & contributors,Online magazine,Center-right / liberal internationalist,Essays on democracy foreign policy and liberalism by scholars and ex-officials.,https://www.americanpurpose.com,Free,Independent nonprofit,Medium,4,,Confirming / Expanding (right-leaning users),national_global / rules_outcomes / pragmatism_idealism
SmartHERNews,Jenna Lee,Video + podcast,Center-right,Short explain-first briefings on major stories aiming to be non-sensationalist and clear.,https://smarthernews.com,Free,Small independent company,Medium,3,,Confirming / Expanding (right-leaning users),stability_change / trust_skepticism
UnHerd,Freddie Sayers & team,Magazine + video,Heterodox / center-right,Long-form essays and video interviews with voices across the spectrum skeptical of elite consensus.,https://unherd.com,Both,Independent UK-based company,Medium,4,,Expanding / Challenging,stability_change / pragmatism_idealism / individual_collective
EconTalk,Russ Roberts,Podcast,Center-right / classical liberal,Long-form interviews on economics regulation healthcare education and trade.,https://www.econtalk.org,Free,Independent show (Hoover affiliation disclosed),Medium,5,,Expanding / Challenging,markets_governance / pragmatism_idealism / individual_collective
Marginal Revolution,Tyler Cowen & Alex Tabarrok,Blog,Center-right / libertarian,High-frequency notes on economic policy trade and institutional design from academic economists.,https://marginalrevolution.com,Free,Solo creators (two economists),Low-Medium,4,,Expanding / Challenging,markets_governance / national_global / pragmatism_idealism
The Redneck Intellectual,C. Bradley Thompson,Newsletter,Right / classical liberal,Philosophical and historical essays on American founding liberty and contemporary politics.,https://www.theredneckintellectual.com,Both,Solo creator,Low,4,[P],Challenging,individual_collective / rules_outcomes / stability_change
The American Conservative,Various,Magazine + website,Right / traditionalist anti-interventionist,Long-form essays and reporting on foreign policy culture and economic populism.,https://www.theamericanconservative.com,Both,Independent nonprofit,Medium,4,[P],Challenging,national_global / stability_change / markets_governance
Compact,Sohrab Ahmari & Matthew Schmitz & Edwin Aponte,Online magazine,Post-liberal / right-leaning,Mix of left-economic and socially conservative essays on class foreign policy and culture.,https://compactmag.com,Both,Independent small magazine,Medium,4,[P],Challenging,markets_governance / individual_collective / national_global
City Journal,Manhattan Institute fellows,Magazine + podcast,Right / policy-focused,Urban policy policing education and economic-policy essays from a conservative think tank.,https://www.city-journal.org,Free,Manhattan Institute (nonprofit think tank),Medium-High,4,[P],Challenging,local_federal / markets_governance / rules_outcomes
The Ricochet Podcast,Rob Long & Peter Robinson & James Lileks,Podcast,Right,Center-right to conservative roundtable discussing U.S. politics with humor and movement conservative perspectives.,https://ricochet.com/podcast/ricochet-podcast/,Free with member extras,Independent conservative podcast network,Medium,3,[P],Challenging,stability_change / individual_collective / trust_skepticism
Antiwar.com,Dave DeCamp & contributors,News + commentary,Right-libertarian / anti-interventionist,Aggregation and analysis on U.S. wars interventions and military policy from anti-war stance.,https://www.antiwar.com,Free,Independent nonprofit,Low-Medium,4,[P],Challenging,national_global / trust_skepticism / rules_outcomes
